"PlotNumber","SubPlot","TreeNum","TreeSpp","DBH","DBHClass","Site_Index_SiteTools18_v2","NewAge","TotalHtCalc","HeightClass","CountAge","CountHT","TotalAge","TreeHealth","TreeOrigin","Conks","BlindConks","Scars","ForkOrCrook","FrostCrack","Mistletoe","RottenBranch","DeadOrBrokenTop","DamageType","DamageSeverity","CrownClass","Ht2LiveCrown","Appearance","CrownCondition","BarkRetention","WoodCondition","LichenLoading","MossLoading","WildLifeUse","TreeNotes","LiveDead","CuVolume","SPH","BasalArea","SiteIndexID","SiteIndex","flag","ProjectID","PlotID","AgeBH","TreeSiteIndex","MensurationID","Zone","SubZone","SiteSeries","SiteIndex_Location","PSPL_SiteIndexValue","Site_Index_Original","Site_Index_SiteTools18_v1","Site_Index_SiteTools19","StemAnalysis","SIBECplot","FlagtoFix_2019","Fixed_2019","Correction_2019","Comment_2019","DONOTUSE_2019","Flag_NoLocation","MAP_LABEL_v11","BEC_v11_AGREE","Field2","Field1","MoistureRegime","NutrientRegime"
"SBC5131","1",1,"Fd",24.10,,12.24,"91",17.80,,91,1.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,155,17696,91,12.24,22452,"SBS","mc2","04","Interior",19.60,"12.24",12.24,13.16,0,1,0,0,,,0,0,"SBSdw3",0,0,0,"3","C"
"SBC5183","1",1,"Sx",15.80,,18.96,"32",12.50,,32,1.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,155,17748,32,,22531,"SBS","mc2","07","Interior",20.39,,18.96,23.72,0,1,0,0,,,0,0,"SBSdw3",0,0,0,"5","D"
"SBC5901","1",1,"Bl",5.30,,18.09,"10",4.20,,10,1.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,167,18485,10,18.09,23702,"SBS","mc2","12","Interior",,"18.09",18.09,29.24,0,1,0,0,,,0,0,"SBSmc2",1,0,0,"7","B"
"SBC5901","1",1,"Sx",6.50,,12.56,"21",4.80,,21,1.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,167,18485,21,12.36,23703,"SBS","mc2","12","Interior",,"12.36",12.56,29.24,0,1,0,0,,,0,0,"SBSmc2",1,0,0,"7","B"
"SBC5902","1",1,"Sx",31.80,,20.65,"53",21.60,,53,1.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,167,18486,53,20.65,23704,"SBS","mc2","10a","Interior",18.39,"20.65",20.65,23.72,0,1,0,0,,,0,0,"SBSdk",0,0,0,"5","C"
"SBC5903","1",1,"Sx",33.70,,19.95,"60",22.90,,60,1.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,167,18487,60,19.95,23705,"SBS","mc2","10b","Interior",18.89,"19.95",19.95,22.43,0,1,0,0,,,0,0,"SBSmc2",1,0,0,"7","C"
"SBC5905","1",1,"Sx",34.70,,21.72,"57",23.90,,57,1.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,167,18489,57,21.72,23707,"SBS","mc2","10a","Interior",19.00,"21.72",21.72,24.36,0,1,0,0,,,0,0,"SBSmc2",1,0,0,"6","D"
"SBC5907","1",1,"Bl",7.40,,18.22,"11",4.60,,11,1.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,167,18491,11,18.22,23709,"SBS","mc2","03","Interior",15.39,"18.22",18.22,27.89,0,1,0,0,,,0,0,"SBSmc2",1,0,0,"4","B"
"SBC5909","1",1,"Sx",32.60,,17.28,"61",20.30,,61,1.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,167,18493,61,,23711,"SBS","mc2","07","Interior",19.00,,17.28,19.76,0,1,0,0,,,0,0,"SBSmc2",1,0,0,"6","B"
"SBC5912","1",1,"Sx",26.70,,21.64,"34",15.40,,34,1.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,167,18496,34,21.72,23714,"SBS","mc2","10","Interior",,"21.72",21.64,26.21,0,1,0,0,,,0,0,"SBSmc2",1,0,0,"6","E"
