"Unit","Spp","SIPred","MeanPlotSiteIndex"
"BWBSwk1/102","Yc",16.8409033888396,NA
"BWBSwk1/111","At",16.752957757423,NA
"BWBSwk1/111","Ba",15.0550948071166,NA
"BWBSwk1/111","Bl",15.5128722754623,NA
"BWBSwk1/111","Cw",13.1293097160223,NA
"BWBSwk1/111","Fd",18.8134527794646,NA
"BWBSwk1/111","Hm",11.9691967647251,NA
"BWBSwk1/111","Hw",16.3674491837206,NA
"BWBSwk1/111","Lw",22.2332034665706,NA
"BWBSwk1/111","Pl",13.7153334381201,NA
"BWBSwk1/111","Pw",23.1992675237207,NA
"BWBSwk1/111","Py",20.0534669940534,NA
"BWBSwk1/111","Sb",12.1981979461255,15
"BWBSwk1/111","Ss",24.0603033777572,NA
"BWBSwk1/111","Sx",13.6027870727885,NA
"BWBSwk1/111","Yc",16.6361419268227,NA
"BWBSwk2/101","At",14.6968884152356,15
"BWBSwk2/101","Ba",16.5337077015408,NA
"BWBSwk2/101","Bl",13.3264493011311,NA
"BWBSwk2/101","Cw",14.4488143450211,NA
"BWBSwk2/101","Fd",17.4973594491594,NA
"BWBSwk2/101","Hm",13.7863723357741,NA
"BWBSwk2/101","Hw",17.3133563803875,NA
"BWBSwk2/101","Lw",21.6855712862641,NA
"BWBSwk2/101","Pl",13.6665458250023,15
"BWBSwk2/101","Pw",22.9986140567177,NA
"BWBSwk2/101","Py",18.2105211253982,NA
"BWBSwk2/101","Sb",9.35735028870475,NA
"BWBSwk2/101","Ss",23.3557228946461,NA
"BWBSwk2/101","Sx",13.4989805518561,15
"BWBSwk2/101","Yc",18.8215270611302,NA
"BWBSwk2/102","At",13.282809325944,NA
"BWBSwk2/102","Ba",14.2170367257928,NA
"BWBSwk2/102","Bl",11.4419236523441,NA
"BWBSwk2/102","Cw",12.0094844918271,NA
"BWBSwk2/102","Fd",13.7996091857887,NA
"BWBSwk2/102","Hm",11.7996764865407,NA
"BWBSwk2/102","Hw",13.1081765946261,NA
"BWBSwk2/102","Lw",19.38262048148,NA
"BWBSwk2/102","Pl",12.2643939615598,12
"BWBSwk2/102","Pw",22.0660207036993,NA
"BWBSwk2/102","Py",16.6246381943175,NA
"BWBSwk2/102","Sb",9.79999467906185,NA
"BWBSwk2/102","Ss",21.9575641600411,NA
"BWBSwk2/102","Sx",10.0601857468419,9
"BWBSwk2/102","Yc",15.786397383574,NA
"BWBSwk2/110","At",15.7694824567048,15
"BWBSwk2/110","Ba",16.893214890881,NA
"BWBSwk2/110","Bl",16.1131140467958,NA
"BWBSwk2/110","Cw",15.4247630057617,NA
"BWBSwk2/110","Fd",19.5162752549173,NA
"BWBSwk2/110","Hm",14.2700402321288,NA
"BWBSwk2/110","Hw",18.0089231233941,NA
"BWBSwk2/110","Lw",21.9235718513706,NA
"BWBSwk2/110","Pl",16.0082732095036,15
"BWBSwk2/110","Pw",22.7264021160577,NA
"BWBSwk2/110","Py",19.1674707401383,NA
"BWBSwk2/110","Sb",9.53855314129559,NA
"BWBSwk2/110","Ss",25.997182654996,NA
"BWBSwk2/110","Sx",15.9280722654678,15
"BWBSwk2/110","Yc",21.4904167416712,NA
"BWBSwk3/101","At",14.7770081198833,NA
"BWBSwk3/101","Ba",14.3048292396557,NA
"BWBSwk3/101","Bl",13.9983882446744,NA
"BWBSwk3/101","Cw",14.7959694065725,NA
"BWBSwk3/101","Fd",17.4392003307411,NA
"BWBSwk3/101","Hm",14.1428484417071,NA
"BWBSwk3/101","Hw",16.7193254503485,NA
"BWBSwk3/101","Lw",21.9758083190681,NA
"BWBSwk3/101","Pl",13.65127180798,12
"BWBSwk3/101","Pw",22.8564611949268,NA
"BWBSwk3/101","Py",18.9338805581744,NA
"BWBSwk3/101","Sb",9.13543573787403,9
"BWBSwk3/101","Ss",24.4766079918746,NA
"BWBSwk3/101","Sx",13.1184896912653,12
"BWBSwk3/101","Yc",20.3213505714842,NA
"BWBSwk3/102","At",12.4695601868906,NA
