ID1,ID2,lat,long,el
1-A-10,487,49.65,-117.5,830
1-A-20,488,49.51,-117.63,588
1-A-22,489,49.28,-117.58,1161
1-A-28,490,49.51,-117.64,701
1-A-29,491,49.16,-117.37,1195
1-A-6,492,49.02,-117.97,902
1-A-8,493,49.21,-117.19,1070
203.1su,494,49.42,-118.58,1359
207.1su,495,49.52,-118.51,1513
207.2su,496,49.52,-118.51,1513
209.1su,497,49.39,-118.6,1281
212.1su,498,49.45,-118.31,1429
213.1su,499,49.33,-118.13,975
214.1su,500,49.32,-118.12,984
215.1su,501,49.2,-117.99,1495
225.1su,502,49.25,-116.13,1403
2-A-11,503,50.23,-117.58,1041
2-A-13,504,49.33,-117.27,1237
2-A-15,505,50.23,-117.54,1193
2-A-16,506,50.15,-117.4,909
2-A-20,507,50.27,-117.76,813
2-A-21,508,50.27,-117.77,844
2-A-23,509,49.91,-117.22,1357
2-A-3,510,49.33,-117.28,1228
2-A-4,511,50.21,-117.5,965
3101,512,50.08,-114.94,1456
3102,513,50.47,-114.95,1700
3103,514,50.45,-114.95,1655
3104,515,49.92,-114.93,1423
3105,516,49.92,-114.94,1664
3106,517,49.44,-114.95,1699
3107,518,49.49,-114.93,1331
3108,519,50.34,-114.9,1571
3109,520,50.31,-114.89,1725
3110,521,50.23,-114.92,1870
3111,522,50.24,-114.92,1837
3112,523,49.8,-115.49,1711
345-1,524,49.84,-119.85,1133
345-2,525,49.84,-119.85,1164
345-3,526,49.82,-119.84,1128
345-4,527,49.81,-119.86,983
345-5,528,49.81,-119.85,1001
345-6,529,49.83,-119.82,860
345-8,530,49.85,-119.88,1309
3-A-11,532,49.73,-118.25,1178
3-A-12,533,49.35,-117.62,1287
3-A-13,534,49.47,-117.97,1489
3-A-2,535,49.83,-118.27,1369
3-A-3,536,49.34,-117.63,1276
3-A-4,537,49.74,-117.32,1534
3-A-5,538,49.45,-117.63,1395
401.1su,539,49.79,-115.61,1800
401.2su,540,49.79,-115.61,1800
408.1su,541,49.01,-114.88,1780
410.1su,542,49.92,-121.17,1434
410.2su,543,49.92,-121.17,1434
411.1su,544,49.68,-115.23,1175
414.1su,545,49.54,-120.94,1250
416.1su,546,49.47,-114.78,1600
4161su,547,49.53,-120.94,1310
418.1su,548,49.69,-114.94,1705
419.1su,549,49.39,-121.04,1285
424Asu,550,49.29,-116.23,1320
439Asu,551,50,-116.92,1280
442Asu,552,50.03,-117.1,1310
447Asu,553,50.15,-117.67,1170
4-A-1,554,49.24,-117.54,1191
4-A-10,555,49.08,-117.23,959
4-A-11,556,49.18,-117.58,1190
4-A-15,557,49.02,-117.28,784
4-A-16,558,49.44,-118.02,911
4-A-17,559,49.45,-118.03,765
4-A-19,560,49.41,-117.6,802
4-A-2,561,49.12,-117.64,951
4-A-20,562,49.06,-117.95,696
4-A-21,563,49.24,-117.55,1099
4-A-22,564,49.09,-117.23,1014
4-A-24,565,49.46,-117.59,731
4-A-5,566,49.45,-118.03,669
4-A-6,567,49.02,-117.28,731
4-A-8,568,49.73,-117.48,588
504Asu,569,49.19,-115.87,1640
507Asu,570,49.36,-116.62,1625
509Asu,571,49.16,-116.77,1680
512Asu,572,49.17,-115.91,1605
513Asu,573,49.17,-115.87,1635
518.1su,574,49.09,-114.56,1362
523.1su,575,49.8,-114.86,1240
523.2su,576,49.8,-114.86,1240
524.1su,577,49.6,-115.3,1078
525.1su,578,49.67,-115.2,1125
550.1su,579,49.69,-115.95,1160
563.1su,580,49.4,-114.95,1760
568.1su,581,49.3,-117.09,16
5-A-1,582,50.16,-117.4,1214
5-A-11,583,49.26,-117.37,1278
5-A-12,584,49.15,-117.83,1331
5-A-2,585,49.24,-117.73,1345
5-A-3,586,49.18,-117.82,1283
5-A-4,587,49.44,-117.64,1328
5-A-5,588,49.09,-117.14,1285
5-A-6,589,49.25,-117.54,1345
5-A-8,590,49.23,-117.51,1224
5-A-9,591,49.44,-117.64,1267
602.1su,592,49.54,-115.5,918
602.2su,593,49.85,-120.38,1685
6021su,594,49.85,-120.38,1685
602Asu,595,49.15,-116.49,895
602Bsu,596,49.15,-116.49,895
603.1su,597,49.47,-115.45,835
604Asu,598,49.24,-116.33,836
605.1su,599,49.67,-121.02,1290
605Asu,600,49.24,-116.33,800
608.1su,601,50.02,-115.67,1160
608Asu,602,49.03,-116.15,1000
610.1su,603,49.77,-115.85,1110
612Asu,604,49.03,-116.33,1480
613.1su,605,49.62,-116.06,965
6131su,606,49.64,-121.07,1210
614Asu,607,49.24,-115.95,1600
616.1su,608,49.79,-120.42,1505
616Asu,609,49.24,-115.96,1675
618.1su,610,49.77,-120.42,1430
618.2su,611,49.77,-120.42,1430
626.1su,612,49.46,-115.43,820
626Asu,613,49.9,-117.23,1440
628Asu,614,50.07,-117.34,1560
629.1su,615,49.5,-115.15,1170
629.2su,616,49.5,-115.15,1170
629.3su,617,49.5,-115.15,1170
631Asu,618,49.82,-116.92,1315
632.1su,619,49.68,-114.93,1442
634Asu,620,50,-117.05,930
642.1su,621,49.29,-114.78,1435
646.1su,622,49.41,-114.85,1865
648.1su,623,49.43,-114.89,1650
650.1su,624,49.49,-114.88,1865
651.1su,625,49.52,-114.9,1875
652.1su,626,49.52,-114.9,1755
655.1su,627,49.52,-114.91,1785
659.1su,628,49.43,-114.89,1685
659.2su,629,49.43,-114.89,1685
666.1su,630,49.5,-117.45,1000
671.1su,631,49.65,-117.14,1010
6727,632,49.26,-117.73,1190
6728,633,49.65,-117.71,1607
6729,634,49.65,-117.74,1649
6730,635,49.15,-118.36,1380
6731,636,49.08,-118.3,1170
6732,637,49.08,-118.29,1206
6733,638,49.18,-117.87,1475
6734,639,49.04,-117.03,1912
6735,640,50.04,-117.1,1607
6736,641,49.98,-116.96,1590
6737,642,49.48,-115.96,1653
6738,643,50.56,-116.4,1214
6739,644,50.56,-116.4,1217
674.1su,645,49.23,-117.25,745
6740,646,50.56,-116.44,1249
6741,647,50.44,-116.25,1204
6742,648,50.33,-115.97,1250
6743,649,50.35,-116.02,1346
6744,650,50.37,-116.03,1541
6745,651,50.33,-115.64,1047
6746,652,50.36,-115.62,910
6747,653,50.38,-115.63,986
6748,654,50.63,-116.33,1658
6750,655,50.61,-115.78,1121
6751,656,50.59,-115.76,1125
6752,657,50.19,-116.05,1745
6753,658,50.21,-115.3,1698
6754,659,50.51,-116.26,1636
6755,660,50.56,-115.68,1890
6756,661,50.51,-115.38,1293
6757,662,50.26,-115.33,1752
6758,663,50.42,-115.35,1669
6759,664,50.43,-115.34,1909
676.1su,665,49.24,-117.26,800
6760,666,49.67,-116.03,1731
6761,667,49.29,-117.88,1159
677.1su,668,49.4,-117.2,925
6-A-6,669,49.15,-117.86,1650
6SIB 10,670,50.31,-118.92,966
6SIB 11,671,50.12,-118.77,1673
6SIB 13,672,50.18,-118.79,1420
6SIB 14,673,50.15,-118.59,1110
6SIB 18,674,49.63,-119.4,1655
6SIB 8-,675,50.18,-119.13,110
6SIB10-,676,50.3,-118.53,1625
6SIB103,677,50.58,-119.66,805
6SIB104,678,50.58,-119.66,786
6SIB105,679,50.57,-119.65,820
6SIB106,680,50.57,-119.65,767
6SIB107,681,50.57,-119.65,782
6SIB111,682,50.09,-118.76,1729
6SIB112,683,50.08,-118.75,1760
6SIB113,684,50.57,-119.65,790
6SIB1-5,685,50.29,-118.53,1650
6SIB8-1,686,50.18,-119.12,1070
702.1su,687,49.59,-116.92,1580
703.1su,688,49.59,-116.92,1600
704.1su,689,49.54,-117.46,1560
712.1su,690,49.35,-117.27,1680
720.1su,691,49.27,-117.34,1170
723.1su,692,49.45,-117.29,1258
7-A-11,693,49.45,-117.64,1444
7-A-2,694,49.15,-117.32,1492
7-A-3,695,49.16,-117.31,1443
7-A-5,696,49.34,-117.64,1289
7SIB120,697,50.59,-119.19,642
7SIB121,698,50.19,-119.15,1033
7SIB122,699,50.4,-118.73,1026
7SIB123,700,50.22,-118.77,1060
7SIB124,701,50.2,-118.75,1136
7SIB125,702,50.45,-119.63,1240
7SIB126,703,50.06,-119.07,1310
7SIB127,704,50.15,-119.12,1370
7SIB128,705,50.13,-119.04,1290
7SIB129,706,50.1,-119.1,1246
7SIB130,707,50.1,-119.09,1265
7SIB131,708,50.25,-118.59,817
7SIB132,709,49.89,-119.78,1356
7SIB133,710,50.59,-119.66,873
7SIB134,711,49.67,-120.04,1599
7SIB135,712,49.67,-120.04,1597
7SIB136,713,50.6,-119.67,888
7SIB137,714,50.59,-119.67,847
7SIB139,715,50.57,-119,967
7SIB140,716,50.58,-119.02,898
7SIB141,717,50.56,-119.67,881
7SIB142,718,50.56,-119.7,840
7SIB143,719,50.6,-119.62,1122
7SIB144,720,50.6,-119.62,1092
7SIB145,721,50.64,-119.61,933
7SIB146,722,50.62,-119.65,922
7SIB147,723,50.14,-119.13,1401
7SIB148,724,50.19,-119.07,976
7SIB149,725,50.13,-119.04,1300
801.1su,726,49.23,-114.93,1180
802.1su,727,49.24,-114.93,1170
803.1su,728,49.52,-115.07,1145
803.2su,729,49.52,-115.07,1145
804.1su,730,49.52,-115.07,1195
806.1su,731,49.47,-114.93,1475
807.1su,732,49.49,-114.89,1485
809.1su,733,49.63,-115.07,1370
814.1su,734,49.49,-114.88,1707
816.1su,735,49.8,-114.7,1700
817.1su,736,49.77,-114.72,1555
8OK3670,737,49.92,-118.73,1587
8OK3671,738,50.13,-118.8,1539
8OK3672,739,50.13,-118.8,1492
8OK3673,740,50.61,-118.96,1649
8OK3674,741,50.13,-118.82,1400
8OK3675,742,50.15,-118.82,1177
8OK3676,743,50.15,-118.82,1294
8OK3677,744,50.32,-119.04,1221
8OK3678,745,50.31,-119.07,1214
