SS_NoSpace,TreeSpp,MeanPlotSiteIndex
CWHvh3/104,Ss,20
CWHvh3/105,Cw,24
CWHvh3/105,Hw,28
CWHvh3/105,Ss,32
CWHvh3/106,Cw,24
CWHvh3/106,Hw,28
CWHvh3/106,Ss,32
CWHvh3/110,Cw,24
CWHvh3/110,Hw,28
CWHvh3/110,Ss,32
CWHvh3/111,Cw,24
CWHvh3/111,Hw,24
CWHvh3/111,Ss,32
CWHvh3/112,Cw,24
CWHvh3/112,Hw,28
CWHvh3/112,Ss,32
CWHvh3/114,Cw,24
CWHvh3/114,Hw,24
CWHvh3/114,Ss,32
CWHvh3/115,Cw,12
CWHvh3/115,Hw,12
CWHvh1/16,Pl,20
CWHvh3/115,Yc,12
CWHvh3/116,Cw,24
CWHvh3/116,Ss,20
CWHvh3/117,Cw,16
CWHvh3/117,Hw,16
CWHvh3/117,Ss,16
CWHvh3/117,Yc,16
CWHvm1/01,Ba,29.06490736
CWHvm1/01,Cw,22.60567645
CWHvm1/01,Fd,35.78333325
CWHvm1/01,Hw,27.65612757
CWHvm1/01,Ss,30.77448659
CWHvm1/02,Cw,8
CWHvm1/02,Fd,8
CWHvm1/02,Hw,8
CWHvh2/01,Pl,20
CWHvm1/03,Cw,16
CWHvm1/03,Fd,32.20111105
CWHvm1/03,Hw,17.36437505
CWHvh2/03,Pl,16
CWHvm1/04,Ba,24
CWHvm1/04,Cw,22.51229992
CWHvm1/04,Fd,32
CWHvm1/04,Hw,26.24957166
CWHvm1/04,Ss,24
CWHvm1/05,Ba,30.87600002
CWHvm1/05,Cw,23.99162495
CWHvm1/05,Fd,36
CWHvm1/05,Hw,28.55975008
CWHvm1/05,Ss,32.66226679
CWHvm1/06,Ba,29.09142876
CWHvm1/06,Cw,23.28588899
CWHvm1/06,Hw,25.18514981
CWHvm1/06,Ss,28
CWHvm1/06,Ss,24
CWHvm1/07,Ba,28
CWHvm1/07,Cw,24
CWHvm1/07,Hw,32.64461532
CWHvm1/07,Ss,32
CWHvm1/08,Ba,28
CWHvm1/08,Cw,22.11500013
CWHvm1/08,Hw,26.32687497
CWHvm1/08,Ss,31.36703406
CWHvm1/09,Ba,28
CWHvm1/09,Cw,24
CWHvm1/09,Hw,28
CWHvm1/09,Ss,32
CWHvm1/09,Ss,28
CWHvm1/10,Ba,28
CWHvm1/10,Cw,24
CWHvm1/10,Ss,32
CWHvm1/12,Cw,12
CWHvm1/12,Hm,16
CWHvm1/12,Hw,16
CWHvh2/11,Pl,16
CWHvh2/12,Pl,12
CWHvm1/12,Yc,12
CWHvm1/13,Cw,8
CWHvh3/101a,Pl,20
