SS_NoSpace,TreeSpp,MeanPlotSiteIndex
SBSdk/01,Pl,19.49037536
SBSmc3/01,Pl,19.49500008
MSdk/03,At,19.50857149
ESSFwk1/03,Pl,19.53857149
ESSFwk1/03,Pl,19.53857149
ICHwk2/04,Sx,19.54125047
ESSFwk1/01,Bl,19.54857091
ESSFwk1/01,Bl,19.54857091
SBSwk3/06,Sx,19.57300005
SBSwk3/06,Sx,19.57300005
MSdm1/01,Pl,19.59960007
MSdm1/01,Pl,19.59960007
CWHwm/01,Hw,19.60117671
IDFdk3/01,Pl,19.60500014
IDFdk3/01,Pl,19.60500014
ICHmc1/02,Pl,19.60555564
SBSdw2/01,Pl,19.61500015
SBSdw2/01,Pl,19.61500015
MSdk/05,Pl,19.63914272
ICHmk3/03,Fd,19.64285714
SBSmw/05,Sx,19.6650002
SBSmw/05,Sx,19.6650002
SBSwk1/05,Bl,19.68857138
SBSwk1/05,Bl,19.68857138
CWHwm/01,Cw,19.6933332
SBSvk/01,Sx,19.69749987
SBSmw/05,Sx,19.7
ICHwk3/01,Hw,19.70444436
ESSFwc1/03,Bl,19.70599988
ESSFwc1/03,Bl,19.70599988
CWHvh2/01,Cw,19.7328573
CWHvh2/01,Cw,19.7328573
SBSmc3/01,Bl,19.78000016
CWHws1/01,Cw,19.79666654
ICHmk1/01,Pl,19.82444445
ICHmk1/01,Pl,19.82444445
ICHwk3/05,Sx,19.82875013
ESSFwk1/01,Pl,19.83571434
ESSFwk1/01,Pl,19.83571434
SBSdw1/04,Fd,19.85142871
SBSdw1/04,Fd,19.85142871
SBSdw2/06,Sx,19.85571453
SBSdw2/06,Sx,19.85571453
SBSmk1/04,Sx,19.863857
SBSdw2/06,Pl,19.86545441
SBSdw2/06,Pl,19.86545441
SBSmc2/06,Pl,19.87750034
SBSmc2/06,Pl,19.87750034
SBSmc2/06,Pl,19.87750034
SBSwk3/03,Pl,19.89000022
SBSwk3/03,Pl,19.89000022
ICHwk2/01,Hw,19.89625025
SBSmk1/06,At,19.90142822
SBSdw3/03,Pl,19.90888871
IDFdm2/01,Pl,19.9132
SBSwk1/09,Sx,19.91571426
SBSwk1/09,Sx,19.91571426
SBSdk/05,Fd,19.91625023
SBSdk/05,Fd,19.91625023
ICHvc/01,Bl,19.92374992
ESSFdk/01,Pl,19.93857111
IDFdk1/05,Fd,19.94714274
MSdm1/05,Pl,19.95874977
MSdm1/05,Pl,19.95874977
SBSmw/01,Sx,19.96
SBSmw/01,Sx,19.96
IDFdk3/07,Sx,20.00999987
IDFdk3/07,Sx,20.00999987
SBSdw3/01,Fd,20.01000007
SBSdk/07,Sx,20.0205387
SBSdk/07,Sx,20.0205387
ICHmk3/01,Bl,20.03125036
SBSmw/04,Pl,20.04285676
SBSmw/04,Pl,20.04285676
ESSFwk1/04,Bl,20.0814288
ESSFwk1/04,Bl,20.0814288
MSdk/01,Sx,20.08175008
SBSdk/01,Fd,20.09714317
SBSdk/01,Fd,20.09714317
SBPSdc/01,Pl,20.10374999
SBSmk1/01,Pl,20.1078948
SBSwk3/04,Pl,20.13428593
SBSwk3/04,Pl,20.13428593
ICHmc2/04,Cw,20.14285728
ICHmk3/04,Sx,20.15428584
IDFdk3/07,Fd,20.15499997
IDFdk3/07,Fd,20.15499997
SBSvk/05,Bl,20.19999995
ICHmk1/04,Pl,20.21000024
ICHmk1/04,Pl,20.21000024
SBSdw2/10,Sx,20.21999999
SBSdw2/10,Sx,20.21999999
SBSdw1/07,Sx,20.22428594
SBSdw1/07,Sx,20.22428594
ICHwk1/01,Hw,20.25200005
ICHwk1/01,Hw,20.25200005
ICHwk1/01,Hw,20.25200005
ICHmm/03,Bl,20.27857127
SBSmw/04,Fd,20.3
SBPSmk/01,Pl,20.30100002
SBSmw/04,Fd,20.30285726
SBSmw/04,Fd,20.30285726
ICHwk2/04,Bl,20.30714294
SBSdw2/05,Fd,20.31285722
SBSdw2/05,Fd,20.31285722
ICHmc2/01,Pl,20.31727278
SBSdw1/05,Pl,20.3342856
SBSdw1/05,Pl,20.3342856
SBSmk1/07,At,20.36857169
SBSdk/06,Sx,20.37863645
SBSdk/06,Sx,20.37863645
SBSwk1/03,Pl,20.39714241
SBSwk1/03,Pl,20.39714241
ICHvc/02,Hw,20.41714232
SBSdw3/01,Bl,20.42250013
IDFdk2/05,Sx,20.43272738
MSdk/01,Fd,20.44418179
SBSdk/06,At,20.46142891
SBSdk/06,At,20.46142891
SBSwk1/05,Pl,20.47375011
SBSwk1/05,Pl,20.47375011
ICHmk3/04,Bl,20.47875023
ICHmk1/01,Fd,20.50764707
ICHmk1/01,Fd,20.50764707
ICHmm/01,Bl,20.51374948
ICHvk2/01,Hw,20.53142861
SBPSmk/06,Pl,20.53999983
ESSFwc1/01,Pl,20.5510525
ESSFwc1/01,Pl,20.5510525
IDFdk1/05,Sx,20.55272727
SBSwk3/01,Pl,20.58666682
SBSwk3/01,Pl,20.58666682
IDFdk3/07,Pl,20.60888873
IDFdk3/07,Pl,20.60888873
CWHws1/11,Sx,20.62000016
ICHvc/02,Bl,20.63374996
SBSwk1/06,Sx,20.63777796
SBSwk1/06,Sx,20.63777796
SBSdk/07,Pl,20.67692324
SBSdk/07,Pl,20.67692324
SBPSmk/06,Sx,20.68181792
SBSmw/08,Bl,20.7
CWHws1/03,Pl,20.7099999
SBSwk1/08,Ep,20.72999995
ICHdk/01,Bl,20.73142842
