"PlotNumber","SubPlot","MeasurementID","TreeNum","TreeSpp","DBH","DBHClass","TotalHtCalc","HeightClass","CountAge","CountHT","TotalAge","AgeNote","TreeHealth","TreeOrigin","Conks","BlindConks","Scars","ForkOrCrook","FrostCrack","Mistletoe","RottenBranch","DeadOrBrokenTop","DamageType","DamageSeverity","CrownClass","Ht2LiveCrown","Appearance","CrownCondition","BarkRetention","WoodCondition","LichenLoading","MossLoading","WildLifeUse","TreeNotes","LiveDead","CuVolume","SPH","BasalArea","SiteIndexID","SiteIndex"
"M206","1",0,3,"Bl",31.70000,30.00000,12.20000,,32,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M210","1",0,1,"Se",18.50000,15.00000,10.20000,,27,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M211","1",0,1,"Fd",27.50000,30.00000,15.50000,,34,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M211","1",0,2,"Bl",17.10000,15.00000,10.70000,,28,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M212","1",0,1,"Bl",22.90000,30.00000,10.70000,,33,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M213","1",0,1,"Pl",23.00000,30.00000,11.60000,,27,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M214","1",0,1,"Fd",43.50000,45.00000,25.20000,,91,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M214","1",0,2,"Bl",29.40000,30.00000,20.50000,,76,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M215","1",0,1,"Fd",51.60000,45.00000,30.70000,,77,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M215","1",0,2,"Se",51.00000,45.00000,32.50000,,77,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"M215","1",0,3,"Bl",36.80000,30.00000,29.50000,,83,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DM1890","1",0,1,"Hw",17.40000,15.00000,16.10000,,61,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DM1890","1",0,2,"Sx",27.60000,30.00000,24.60000,,62,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DM1890","1",0,3,"Fd",44.40000,45.00000,28.20000,,60,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DM1894","1",0,1,"Bl",24.20000,30.00000,29.90000,,94,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NEpsp33","1",0,1,"At",19.70000,15.00000,17.30000,,27,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DM1896","1",0,1,"Fd",25.10000,30.00000,17.70000,,34,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PSP9722","1",0,1,"Fd",15.00000,15.00000,15.50000,,41,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PSP9722","1",0,2,"Hw",23.60000,30.00000,18.70000,,52,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PSP9722","1",0,3,"Cw",13.80000,15.00000,14.30000,,55,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PSP9722","1",0,4,"Ep",17.20000,15.00000,13.80000,,59,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PSP9723","1",0,1,"Se",41.70000,45.00000,30.50000,,94,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PSP9723","1",0,2,"Hw",24.20000,30.00000,20.90000,,69,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NPSP069","1",0,1,"Sx",27.10000,30.00000,27.00000,,65,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NPSP070","1",0,1,"Bl",42.20000,45.00000,33.80000,,132,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NPSP070","1",0,2,"Fd",36.50000,30.00000,33.20000,,101,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NPSP070","1",0,3,"Se",39.50000,45.00000,34.60000,,114,1.300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
